"X","FirstName","LastName","Position","Origin","Destination","TransferDate","Rating","Stars","Eligibility","Team","Transfer","Player","Team_New"
46,"Ryan","Robinson Jr.","CB","LSU","Iowa State","2024-04-17T18:48:00.000Z",0.85,3,"Immediate","Iowa State",TRUE,"Ryan Robinson Jr.","iowa-state"
47,"Anthony","Madrigal","OLB","San José State","","2023-11-29T06:00:00.000Z",NA,2,"Immediate","San José State",FALSE,"Anthony Madrigal","san-jose-state"
48,"Carson","Voss","P","Western Michigan","Michigan State","2023-12-08T06:00:00.000Z",NA,NA,"Immediate","Michigan State",TRUE,"Carson Voss","michigan-state"
49,"NyNy","Davis","WR","UL Monroe","","2024-04-17T18:45:00.000Z",NA,2,"Immediate","UL Monroe",FALSE,"NyNy Davis",NA
50,"Wyatt","Redding","K","Boise State","Central Washington","2024-04-17T18:44:00.000Z",NA,2,"Immediate","Central Washington",TRUE,"Wyatt Redding",NA
51,"Antonio","Gates Jr.","WR","Michigan State","","2024-04-22T17:49:00.000Z",NA,4,"Immediate","Michigan State",FALSE,"Antonio Gates Jr.","michigan-state"
52,"Christian","Ellis","S","New Mexico","","2023-11-29T16:21:00.000Z",NA,3,"Withdrawn","New Mexico",FALSE,"Christian Ellis","new-mexico"
53,"Collin","Gamble","CB","California","","2024-04-22T16:10:00.000Z",NA,3,"Immediate","California",FALSE,"Collin Gamble","california"
54,"Malik","Dixon","S","UConn","","2023-11-30T17:49:00.000Z",NA,3,"Withdrawn","UConn",FALSE,"Malik Dixon",NA
55,"Kelly","Akharaiyi","WR","UTEP","Mississippi State","2023-11-30T17:52:00.000Z",0.87,3,"Immediate","Mississippi State",TRUE,"Kelly Akharaiyi","mississippi-state"
56,"Josh","McCarty","S","Eastern Michigan","Pittsburgh","2024-04-17T18:43:00.000Z",NA,2,"Immediate","Pittsburgh",TRUE,"Josh McCarty","pittsburgh"
57,"George","French","OT","Pittsburgh","","2024-04-17T18:42:00.000Z",NA,NA,"Immediate","Pittsburgh",FALSE,"George French","pittsburgh"
58,"Guerlens","Milfort","DL","UAB","","2024-04-17T18:40:00.000Z",NA,3,"Immediate","UAB",FALSE,"Guerlens Milfort",NA
59,"Cooper","Legas","QB","Utah State","Tulsa","2024-04-17T18:40:00.000Z",0.85,3,"Immediate","Tulsa",TRUE,"Cooper Legas","tulsa"
60,"Ryan","Coe","K","North Carolina","California","2023-11-29T16:52:00.000Z",0.8,3,"Immediate","California",TRUE,"Ryan Coe","california"
61,"Kadan","Lewis","DL","Arkansas State","","2024-04-17T18:35:00.000Z",NA,3,"Immediate","Arkansas State",FALSE,"Kadan Lewis","arkansas-state"
62,"KZ","Adams","RB","Georgia State","South Carolina State","2023-12-04T14:18:00.000Z",NA,3,"Immediate","South Carolina State",TRUE,"KZ Adams",NA
63,"CJ","Brown","S","Northern Illinois","Bowling Green","2023-11-30T17:47:00.000Z",0.82,3,"Immediate","Bowling Green",TRUE,"CJ Brown","bowling-green-state"
64,"Corey","Warren","DL","Georgia State","Samford","2024-04-17T18:33:00.000Z",NA,3,"Immediate","Samford",TRUE,"Corey Warren",NA
65,"Charles","Brown","CB","Texas State","Nevada","2024-04-17T18:31:00.000Z",NA,NA,"Immediate","Nevada",TRUE,"Charles Brown","nevada"
66,"Treylin","Payne","LB","Houston","Texas State","2024-04-17T18:29:00.000Z",0.85,3,"Immediate","Texas State",TRUE,"Treylin Payne","texas-state"
67,"Connor","Gilbreath","TE","LSU","Boise State","2024-04-17T18:13:00.000Z",0.83,3,"Immediate","Boise State",TRUE,"Connor Gilbreath","boise-state"
68,"Habib","Bello","DL","Washington","","2024-04-17T18:09:00.000Z",NA,2,"Immediate","Washington",FALSE,"Habib Bello","washington"
69,"Vito","Tisdale","S","Colorado","Eastern Kentucky","2024-04-17T18:07:00.000Z",0.84,3,"Immediate","Eastern Kentucky",TRUE,"Vito Tisdale",NA
70,"Anthony","Smith","IOL","Iowa State","Tennessee State","2024-04-17T18:02:00.000Z",NA,2,"Immediate","Tennessee State",TRUE,"Anthony Smith",NA
71,"Makkah","Jordan","S","Georgia State","Garden City C.C. ","2024-04-17T18:00:00.000Z",NA,3,"Immediate","Garden City C.C. ",TRUE,"Makkah Jordan",NA
72,"Ben","Shellenback","OT","Greeneville","Florida International","2023-11-17T18:02:00.000Z",0.81,3,"Immediate","Florida International",TRUE,"Ben Shellenback","florida-international"
73,"Tevin","Shaw","IOL","Houston","New Mexico","2024-04-17T17:49:00.000Z",0.83,3,"Immediate","New Mexico",TRUE,"Tevin Shaw","new-mexico"
74,"Christian","Womack","RB","Purdue","","2024-04-17T17:45:00.000Z",NA,NA,"Immediate","Purdue",FALSE,"Christian Womack","purdue"
75,"Eddie","Pleasant III","CB","Michigan State","Buffalo","2024-04-17T17:44:00.000Z",0.84,3,"Immediate","Buffalo",TRUE,"Eddie Pleasant III","buffalo"
76,"Yusuf","Terry","WR","South Florida","Georgia State","2024-04-17T17:39:00.000Z",NA,3,"Immediate","Georgia State",TRUE,"Yusuf Terry","georgia-state"
77,"Eddie","Kelly","DL","Georgia Tech","Missouri","2024-04-17T16:41:00.000Z",0.87,3,"Immediate","Missouri",TRUE,"Eddie Kelly","missouri"
78,"Evan","Eller","LB","VMI","Wyoming","2023-11-20T06:00:00.000Z",0.84,3,"Immediate","Wyoming",TRUE,"Evan Eller","wyoming"
79,"Vaughn","Pemberton","RB","Ball State","","2023-12-04T13:37:00.000Z",NA,2,"Immediate","Ball State",FALSE,"Vaughn Pemberton","ball-state"
80,"Deion","Burks","WR","Purdue","Oklahoma","2023-12-04T13:54:00.000Z",0.92,4,"Immediate","Oklahoma",TRUE,"Deion Burks","oklahoma"
81,"Zaylin","Wood","DL","Middle Tennessee","Vanderbilt","2023-11-28T16:06:00.000Z",0.87,3,"Immediate","Vanderbilt",TRUE,"Zaylin Wood","vanderbilt"
82,"Khai","Prean","WR","LSU","Tulane","2024-04-17T14:29:00.000Z",0.87,3,"Immediate","Tulane",TRUE,"Khai Prean","tulane"
83,"Justice","Ugo","S","Houston","","2024-04-18T14:43:00.000Z",NA,3,"Immediate","Houston",FALSE,"Justice Ugo","houston"
84,"Dannis","Jackson","WR","Missouri","Southern Miss","2024-04-17T14:15:00.000Z",0.85,3,"Immediate","Southern Miss",TRUE,"Dannis Jackson","southern-mississippi"
85,"Keontez","Lewis","WR","Wisconsin","Southern Illinois","2023-12-04T06:00:00.000Z",0.87,3,"Immediate","Southern Illinois",TRUE,"Keontez Lewis",NA
86,"John","Howse IV","S","Vanderbilt","Middle Tennessee","2024-04-17T14:11:00.000Z",NA,3,"Immediate","Middle Tennessee",TRUE,"John Howse IV","middle-tennessee-state"
87,"Cameron","Smith","S","Eastern Michigan","Jackson State","2024-04-17T14:04:00.000Z",0.84,3,"Immediate","Jackson State",TRUE,"Cameron Smith",NA
88,"Ike","Udengwu III","QB","Eastern Michigan","Grand Valley State University","2024-04-17T14:01:00.000Z",NA,3,"Immediate","Grand Valley State University",TRUE,"Ike Udengwu III",NA
89,"Derrick","Brown","LB","Texas State","","2024-04-17T13:58:00.000Z",NA,3,"Immediate","Texas State",FALSE,"Derrick Brown","texas-state"
90,"Brady","Tillman","RB","UL Monroe","","2024-04-17T13:55:00.000Z",NA,NA,"Immediate","UL Monroe",FALSE,"Brady Tillman",NA
91,"Dylan","Barrett","IOL","Wisconsin","Iowa State","2023-11-29T06:00:00.000Z",0.86,3,"Immediate","Iowa State",TRUE,"Dylan Barrett","iowa-state"
92,"Sam","Brown","WR","Houston","Miami","2024-04-16T23:28:00.000Z",0.92,4,"Immediate","Miami",TRUE,"Sam Brown","miami-fl"
93,"Kamron","Scott","IOL","UTSA","","2024-04-16T22:52:00.000Z",NA,3,"Immediate","UTSA",FALSE,"Kamron Scott",NA
94,"Malick","Meiga","WR","Penn State","Coastal Carolina","2024-04-16T22:41:00.000Z",NA,3,"Immediate","Coastal Carolina",TRUE,"Malick Meiga","coastal-carolina"
95,"Keeon","Terrell","DL","South Florida","","2024-04-16T22:03:00.000Z",NA,3,"Immediate","South Florida",FALSE,"Keeon Terrell","south-florida"
96,"Chris","Morris","OT","Memphis","","2024-04-16T22:38:00.000Z",NA,3,"Immediate","Memphis",FALSE,"Chris Morris","memphis"
97,"Kiael","Kelly","QB","Ball State","","2024-04-15T20:50:00.000Z",NA,3,"Immediate","Ball State",FALSE,"Kiael Kelly","ball-state"
98,"Max","Marsh","QB","Kansas State","","2024-04-16T00:23:00.000Z",NA,3,"Immediate","Kansas State",FALSE,"Max Marsh","kansas-state"
99,"Darwin","Barlow","RB","USC","North Carolina","2023-11-30T22:43:00.000Z",0.87,3,"Immediate","North Carolina",TRUE,"Darwin Barlow","north-carolina"
100,"Tyler","Williams","WR","Georgia","Minnesota","2024-04-16T22:01:00.000Z",0.91,4,"Immediate","Minnesota",TRUE,"Tyler Williams","minnesota"
101,"Joseph","McKay","RB","East Carolina","","2023-12-04T12:51:00.000Z",NA,3,"Immediate","East Carolina",FALSE,"Joseph McKay","east-carolina"
102,"Logan","Wilson","S","North Texas","Cincinnati","2023-11-30T22:30:00.000Z",0.87,3,"Immediate","Cincinnati",TRUE,"Logan Wilson","cincinnati"
103,"Tavian","Combs","S","New Mexico","","2023-11-28T15:25:00.000Z",NA,2,"Withdrawn","New Mexico",FALSE,"Tavian Combs","new-mexico"
104,"Cormani","McClain","CB","Colorado","Florida","2024-04-16T21:39:00.000Z",0.94,4,"Immediate","Florida",TRUE,"Cormani McClain","florida"
105,"Khafre","Brown","WR","South Florida","Arkansas","2024-04-16T21:31:00.000Z",0.84,3,"Immediate","Arkansas",TRUE,"Khafre Brown","arkansas"
106,"Jeremiah","Josephs","CB","Tennessee State","","2024-04-16T20:54:00.000Z",0.84,3,"Immediate","Tennessee State",FALSE,"Jeremiah Josephs",NA
107,"Jacurri","Brown","QB","Miami","UCF","2024-04-16T20:04:00.000Z",0.87,3,"Immediate","UCF",TRUE,"Jacurri Brown",NA
108,"Kaden","Moorman","RB","Louisville","Butler C.C.","2024-04-16T20:00:00.000Z",NA,NA,"Immediate","Butler C.C.",TRUE,"Kaden Moorman",NA
109,"Logan","Fife","QB","Fresno State","Montana","2023-12-04T06:00:00.000Z",0.84,3,"Immediate","Montana",TRUE,"Logan Fife",NA
110,"Major","Byrd","S","North Carolina","","2023-12-04T12:10:00.000Z",NA,NA,"Immediate","North Carolina",FALSE,"Major Byrd","north-carolina"
111,"Elisha","Samples","OT","East Carolina","Wofford","2023-12-04T12:53:00.000Z",NA,3,"Immediate","Wofford",TRUE,"Elisha Samples",NA
112,"Dalevon","Campbell","WR","Nevada","South Carolina","2024-04-16T19:48:00.000Z",0.86,3,"Immediate","South Carolina",TRUE,"Dalevon Campbell","south-carolina"
113,"Eamonn","Dennis","WR","Michigan","Ohio","2024-03-18T13:01:00.000Z",NA,3,"Immediate","Ohio",TRUE,"Eamonn Dennis","ohio"
114,"Shawn","Burton Jr.","OT","Georgia State","North Carolina Central","2024-04-16T19:48:00.000Z",NA,2,"Immediate","North Carolina Central",TRUE,"Shawn Burton Jr.",NA
115,"Deljay","Bailey","QB","Ole Miss","Grambling","2024-04-16T19:45:00.000Z",NA,3,"Immediate","Grambling",TRUE,"Deljay Bailey",NA
116,"TJ","Hartley","K","Austin Peay","Georgia Southern","2024-04-16T19:44:00.000Z",NA,NA,"Immediate","Georgia Southern",TRUE,"TJ Hartley","georgia-southern"
117,"Gerry","Bohanon","QB","South Florida","BYU","2023-11-28T20:22:00.000Z",0.85,3,"Immediate","BYU",TRUE,"Gerry Bohanon","brigham-young"
118,"TJ","Smith","S","Georgia Southern","","2024-01-08T06:00:00.000Z",NA,3,"Withdrawn","Georgia Southern",FALSE,"TJ Smith","georgia-southern"
119,"Corey","Ellington","S","Mississippi State","","2023-12-07T22:02:00.000Z",NA,3,"Withdrawn","Mississippi State",FALSE,"Corey Ellington","mississippi-state"
120,"Jordan","Dingle","TE","Kentucky","","2023-12-07T21:47:00.000Z",NA,3,"Withdrawn","Kentucky",FALSE,"Jordan Dingle","kentucky"
121,"Stanley","Ta'ufo'ou","DL","USC","Arizona","2024-04-16T19:40:00.000Z",0.84,3,"Immediate","Arizona",TRUE,"Stanley Ta'ufo'ou","arizona"
122,"Kaidon","Salter","QB","Liberty","","2024-01-02T22:24:00.000Z",0.92,4,"Withdrawn","Liberty",FALSE,"Kaidon Salter","liberty"
123,"Andrew","Henry","RB","New Mexico","","2023-11-29T16:40:00.000Z",NA,3,"Withdrawn","New Mexico",FALSE,"Andrew Henry","new-mexico"
124,"Jaquez","Moore","RB","Duke","","2023-12-06T19:39:00.000Z",NA,3,"Withdrawn","Duke",FALSE,"Jaquez Moore","duke"
125,"Spencer","Holstege","IOL","UCLA","","2023-12-19T00:55:00.000Z",NA,3,"Withdrawn","UCLA",FALSE,"Spencer Holstege","ucla"
126,"Bryson","Rodgers","WR","Ohio State","","2024-01-02T22:01:00.000Z",0.89,3,"Withdrawn","Ohio State",FALSE,"Bryson Rodgers","ohio-state"
127,"Micah","Bowens","QB","Charlotte","Bethune-Cookman","2023-12-07T17:18:00.000Z",NA,3,"Immediate","Bethune-Cookman",TRUE,"Micah Bowens",NA
128,"Ke'Shawn","Williams","WR","Wake Forest","Indiana","2023-12-01T22:34:00.000Z",0.86,3,"Immediate","Indiana",TRUE,"Ke'Shawn Williams","indiana"
129,"Solomon","DeShields","LB","Pittsburgh","Texas A&M","2024-04-16T19:38:00.000Z",0.88,3,"Immediate","Texas A&M",TRUE,"Solomon DeShields","texas-am"
130,"Stone","Hollenbach","QB","Western Michigan","","2023-11-29T22:50:00.000Z",NA,2,"Immediate","Western Michigan",FALSE,"Stone Hollenbach","western-michigan"
131,"Juan","Davis","TE","Texas","","2024-01-06T06:00:00.000Z",NA,3,"Withdrawn","Texas",FALSE,"Juan Davis","texas"
132,"Patrick","Lucas Jr.","DL","Indiana","Memphis","2023-11-27T14:29:00.000Z",0.84,3,"Immediate","Memphis",TRUE,"Patrick Lucas Jr.","memphis"
133,"Brayden","Schager","QB","Hawai'i","","2023-12-06T15:23:00.000Z",NA,3,"Withdrawn","Hawai'i",FALSE,"Brayden Schager","hawaii"
134,"Ryan","Capriotti","K","East Carolina","Maryland","2023-11-27T13:42:00.000Z",NA,NA,"Immediate","Maryland",TRUE,"Ryan Capriotti","maryland"
135,"Clay","Patterson","DL","UNLV","Stanford","2024-05-02T16:22:00.000Z",0.86,3,"Immediate","Stanford",TRUE,"Clay Patterson","stanford"
136,"Jason","Zandamela","IOL","USC","Florida","2024-04-16T19:28:00.000Z",0.97,4,"Immediate","Florida",TRUE,"Jason Zandamela","florida"
137,"Julian","Gray","WR","NC State","Liberty","2024-04-16T19:26:00.000Z",NA,4,"Immediate","Liberty",TRUE,"Julian Gray","liberty"
138,"Quan","Peterson","CB","Syracuse","Coastal Carolina","2024-04-16T19:20:00.000Z",NA,3,"Immediate","Coastal Carolina",TRUE,"Quan Peterson","coastal-carolina"
139,"Luke","Newman","OT","Holy Cross","Michigan State","2023-11-27T06:00:00.000Z",0.87,3,"Immediate","Michigan State",TRUE,"Luke Newman","michigan-state"
140,"Tyler","Patterson","P","Florida International","West Florida","2024-04-16T19:08:00.000Z",NA,NA,"Immediate","West Florida",TRUE,"Tyler Patterson",NA
141,"Israel","Carter","QB","South Florida","","2024-01-04T18:26:00.000Z",NA,3,"Withdrawn","South Florida",FALSE,"Israel Carter","south-florida"
142,"Roman","Fuller","QB","Tulsa","CSU-Pueblo","2023-11-30T16:54:00.000Z",NA,3,"Immediate","CSU-Pueblo",TRUE,"Roman Fuller",NA
143,"Bryce","McFerson","P","Notre Dame","Maryland","2024-04-16T19:05:00.000Z",NA,3,"Immediate","Maryland",TRUE,"Bryce McFerson","maryland"
144,"Syrus","Dumas","CB","UTSA","","2023-12-04T04:42:00.000Z",NA,NA,"Immediate","UTSA",FALSE,"Syrus Dumas",NA
145,"Luke","Hamilton","RB","West Virginia","","2024-01-17T15:02:00.000Z",NA,NA,"Immediate","West Virginia",FALSE,"Luke Hamilton","west-virginia"
146,"Marcus","Moore","DL","North Texas","Sam Houston","2024-04-16T19:04:00.000Z",NA,3,"Immediate","Sam Houston",TRUE,"Marcus Moore","sam-houston-state"
147,"Artez","Hooker","WR","Florida International","","2024-04-16T19:02:00.000Z",NA,3,"Immediate","Florida International",FALSE,"Artez Hooker","florida-international"
148,"Tre'Darius","Brown","DL","Texas Tech","South Alabama","2024-04-16T19:00:00.000Z",NA,3,"Immediate","South Alabama",TRUE,"Tre'Darius Brown","south-alabama"
149,"Dylan","Gebbia","QB","North Texas","","2024-04-16T19:00:00.000Z",NA,3,"Immediate","North Texas",FALSE,"Dylan Gebbia","north-texas"
150,"Cevan","Edwards","DL","Memphis","","2024-04-16T18:57:00.000Z",NA,3,"Immediate","Memphis",FALSE,"Cevan Edwards","memphis"
151,"Bryce","Stephens","WR","Arkansas","","2023-12-07T19:55:00.000Z",NA,3,"Withdrawn","Arkansas",FALSE,"Bryce Stephens","arkansas"
152,"Kyle","Ford","WR","UCLA","USC","2024-03-15T15:41:00.000Z",0.86,3,"Immediate","USC",TRUE,"Kyle Ford",NA
153,"Malcolm","Pugh","DL","Georgia Tech","","2023-12-15T16:01:00.000Z",NA,3,"Immediate","Georgia Tech",FALSE,"Malcolm Pugh","georgia-tech"
154,"Jaylen","Stinson","S","Duke","","2023-11-30T21:24:00.000Z",NA,3,"Withdrawn","Duke",FALSE,"Jaylen Stinson","duke"
155,"Daniel","Harris","CB","Georgia","","2023-12-26T02:46:00.000Z",NA,4,"Immediate","Georgia",FALSE,"Daniel Harris","georgia"
156,"Dillon","Gabriel","QB","Oklahoma","Oregon","2023-12-04T14:01:00.000Z",0.91,4,"Immediate","Oregon",TRUE,"Dillon Gabriel","oregon"
157,"Gio","Paez","DL","Wisconsin","LSU","2024-03-04T06:00:00.000Z",0.87,3,"Immediate","LSU",TRUE,"Gio Paez","louisiana-state"
158,"DeAndra","Burns Jr.","WR","Arkansas State","","2024-04-16T18:56:00.000Z",NA,3,"Immediate","Arkansas State",FALSE,"DeAndra Burns Jr.","arkansas-state"
159,"Aidan","Kaler","LB","Stony Brook","Charlotte","2023-11-24T16:34:00.000Z",0.83,3,"Immediate","Charlotte",TRUE,"Aidan Kaler","charlotte"
160,"Darius","Gooden","CB","Massachusetts","","2024-03-25T23:10:00.000Z",0.81,3,"Immediate","Massachusetts",FALSE,"Darius Gooden","massachusetts"
161,"Shane","Calhoun","TE","East Carolina","Texas A&M","2024-04-16T18:55:00.000Z",0.86,3,"Immediate","Texas A&M",TRUE,"Shane Calhoun","texas-am"
162,"Robert","Rahimi","S","Liberty","San José State","2023-12-04T06:00:00.000Z",0.82,3,"Immediate","San José State",TRUE,"Robert Rahimi","san-jose-state"
163,"Torey","Richardson","CB","UTEP","Temple","2023-11-29T22:46:00.000Z",0.86,3,"Immediate","Temple",TRUE,"Torey Richardson","temple"
164,"Declan","McMahon","RB","Indiana","","2024-04-16T18:54:00.000Z",NA,NA,"Immediate","Indiana",FALSE,"Declan McMahon","indiana"
165,"Marlon","Jones Jr.","CB","Eastern Washington","Vanderbilt","2023-12-03T22:46:00.000Z",0.88,3,"Immediate","Vanderbilt",TRUE,"Marlon Jones Jr.","vanderbilt"
166,"Cam'Ron","Valdez","RB","Texas Tech","","2023-12-09T04:52:00.000Z",NA,3,"Withdrawn","Texas Tech",FALSE,"Cam'Ron Valdez","texas-tech"
167,"Alex","Bauman","TE","Tulane","","2023-12-12T20:58:00.000Z",NA,3,"Withdrawn","Tulane",FALSE,"Alex Bauman","tulane"
168,"Grant","Bingham","OT","Kentucky","","2023-11-30T00:19:00.000Z",NA,4,"Immediate","Kentucky",FALSE,"Grant Bingham","kentucky"
169,"Jalil","Smith","DL","Syracuse","","2023-12-14T18:41:00.000Z",NA,3,"Withdrawn","Syracuse",FALSE,"Jalil Smith","syracuse"
170,"Dylan","Barrett","IOL","Wisconsin","Iowa State","2023-12-04T15:45:00.000Z",NA,3,"Immediate","Iowa State",TRUE,"Dylan Barrett","iowa-state"
171,"Andon","Carpenter","DL","Kansas","Missouri Western State","2024-04-16T18:38:00.000Z",NA,NA,"Immediate","Missouri Western State",TRUE,"Andon Carpenter",NA
172,"Isaiah","Johnson","RB","North Texas","Abilene Christian","2023-12-01T18:13:00.000Z",NA,3,"Immediate","Abilene Christian",TRUE,"Isaiah Johnson",NA
